职位名称,薪资,工作地点,公司名称,任职要求,学历要求,招聘人数,发布时间
周大福2026届钟表零售培训生,7000-9000元·13薪,深圳盐田区,周大福珠宝金行（深圳）有限公司,"岗位职责:
1、卓越服务体验：精通奢侈品服务标准，为顾客提供尊崇、专业的服务，深度诠释时计背后的文化与工艺内涵。
2、深度客户联结：用心经营客户关系，建立长期信任与联结，通过卓越服务提升品牌忠诚度与客户终身价值。
3、驱动业务增长：精通商品管理与销售策略，积极达成并超越个人及团队业绩目标，对业务结果负责。
4、精益运营管理：参与门店日常运营，包括货品陈列、库存盘点等，以高效运营支撑卓越服务。
任职要求:
1、学历背景：本科及以上学历，专业不限，怀抱从一线实战中崛起的决心。
2、核心特质：
①热爱驱动：对钟表文化与奢侈品行业有浓厚兴趣，乐于主动钻研复杂的产品知识。
②目标坚定：具备强烈的成就导向与抗压能力，对挑战性的销售目标充满激情。
③客户导向：拥有出色的亲和力与沟通能力，能迅速与客户建立真诚的信任关系。
工作地点：全国一线城市核心商圈旗舰店（如上海、青岛、昆明等），拥抱跨城市轮岗带来的视野与成长。",本科,999,更新于 12月27日
饲料销售员(鹅料、鸽料、虾料、鸡料、猪料、鱼料、鸭料),7000-14000元·15薪,揭阳揭东区,新希望六和,"1、负责本区域市场推广，指导客户销告确保营销目标的达成；
2、收集、分析市场及同行业厂家的信息并及时准确地传递到营销中心；
3、在充分的市场调研的基础上制定切实可行的营销措施报大区经理一营销部审批后组织实施；
4、负责本片区客户网络档案的建立和管理、大力拓展养殖户、建立片区标杆养殖户；
5、及时、妥善处理本片区客户投诉，配合技术服务人员处理好养殖投诉；
6、认真及时填报公司要求的各类报表，杜绝弄虚作假。
任职资格:
1、学历不限，专业不限，动物医学、动物科学、市场营销、水产养殖等相关专业优先；
2、具有敬业精神，能吃苦耐劳；
3、愿意投身农产业行业，有激情、团队及创新精神；
4、具有较强语言表达能力和沟通协调能力；
5、有相关客户资源及从业经验者优先。",学历不限,12,更新于 12月16日
房产销售 底薪+提成月收入过万,7000-14000元·15薪,北京朝阳区,北京我爱我家房地产经纪有限公司,"【薪酬待遇】新入职无责底薪+提成，高能力+高付出=高回报，你的收入取于你自己【公司福利】五险一金、精英国内外旅游机会、内部培训、学历提升计划等爱家赢企业文化精神下的各种员工关怀。
【岗位职责】（1）负责新客户、新业主的开发以及负责老客户的维护；（2）负责所有渠道的业主与客户的接待和咨询；（3）掌握客户与业主的的需求，进行资源匹配；（4）陪同客户实地看房，进行商务谈判，签订三方合同，促成房地产经纪买卖和租赁业务",学历不限,7,更新于 12月16日
急招油漆工 五险一金 包吃,7000-9000元,徐州云龙区,深圳南区人瑞人力资源服务有限公司,"涂装工
月薪7000+
不需要证 面就过
原标题：《快来赚钱回家过大年啦！300一天普工》",学历不限,10,更新于 1月3日
社群运营专员（金源店）,5000-8000元,重庆江北区,居然之家,"1.负责公司现有各大业务事业群用户社群的渠道搭建及运营管理，包括但不限于解答疑问、工作沟通维护关系、优化运营流程等；
2.负责核心用户的拉新、活跃、留存及转化等运营指标；
3.通过监控日常运营数据和实时分析，及时调整运营方向及策略，促进最终指标的完成；
4.策划线上社群活动，提升用户活跃度，提高社群粘性；
5.与市场运营团队紧密配合，优化服务流程提升客户体验，加强客户粘性；
6.将每项工作项目制管理，并建立标准化执行文档。
岗位要求:
1.本科以上学历；
2.认同公司企业文化，愿意帮助用户成长，对家居建材行业热爱；
3.热爱与人沟通交流，解决问题；
4.执行能力强，态度认真，有亲和力，同理心；
5.热爱学习，有很强的个人成长欲望；
6.对社群渠道与用户需求有独到见解的工作经历者优先；
7.接受单休。",本科,1,更新于 12月30日
东丽上市企业挑战不进厂稳定7000+包吃住 轻松活,7000-8000元,天津东丽区,天津睿盛人力资源有限公司,"长白班/两班倒自选，当天安排住宿岗位自选
要求：18-45周岁，不限性别
岗位： 检验员/扫描员/电牛驾驶员/仓库包装工
自由休息，没有流水线，住宿四人间，上床下桌，WiFi空调、独立卫浴配备齐全，面试包过，薪资待遇6500~12000不等，留言咨询",学历不限,50,更新于 12月15日
仁和新城 安踏GUANJUN-销售顾问MJ014167,5000-8000元,成都武侯区,安踏体育用品集团有限公司,"工作内容：
1. 负责了解顾客需求，推荐匹配的产品，提供良好的顾客服务；
2. 负责店内产品的补货、退货、陈列维护；
3. 负责门店VIP会员发展与维护；
4. 负责在小红书等自媒体分享安踏冠军系列产品。
职位要求：
1. 中专/高中及以上学历，身高不低于 170cm/160cm；
2. 亲和力强，沟通能力佳；
3. 有零售行业经验优先；
4. 有运动爱好者优先。
薪酬福利：
1.薪酬：底薪+个人提成，底薪5000±400 ，另加提成；
2. 入职购买五险、节假日福利、团建、额外激励奖金...
培训与晋升：
1. 定期组织培训学习，每个季度1次晋升机会；
2. 晋升路径：初级导购→中级导购→高级导购→助理店长→店长。
工作时间：早晚轮班。",高中,1,更新于 12月14日
诚聘 需本科 双休 7000+,7000-8000元,合肥包河区,合肥泰盈信息科技有限公司,"岗位职责：
我们承接银行中后台业务，岗位较多，此外对于统招本科及以上学历朋友 目前有理财专员岗位在招，行内办公，待遇优厚，欢迎咨询。所有岗位可以接受无经验（滨湖 蜀山 包河均有分公司）。
薪资构成：
基础4500（正常出勤上下班，完成日常工作都可以拿得到），税后到手薪资稳定在7000-11000左右，提供住宿，缴纳五险一金。
上班时间：
早上九点到下午六点，月休6-8天，享受国家法定假。
福利待遇：
面试通过即可办理住宿，节假日福利，项目激励奖等。",本科,10,更新于 12月30日
打磨工,6000-8000元,烟台福山区,烟台艾迪精密机械股份有限公司子公司,"工作职责：
操作角磨机打磨零件
任职要求：
1.会使用角磨机，能吃苦；
2.身体健康，能接受倒班
福利待遇：
五险一金+高温补贴+节日福利+带薪年假+年终奖+免费住宿工作餐、上下班车",学历不限,5,更新于 12月23日
销售工程师,6000-10000元,成都武侯区,通威集团,"岗位职责：
1.负责常驻地（山东、河北等）相关区域客户开发；
2.负责客户技术支持管理，持续为客户输出优质检测服务和专业的技术支持；
3.负责宠物食品客户管理，做好区域客户开发、维护、满意度调查、投诉处理等工作。
岗位要求：
1.本科及以上学历，宠物、动物医学、饲料、检测等相关专业优先，需长期出差。
2.有较强的市场开发能力，思维活跃、亲和力强、善于交流与沟通。
3.有第三方检测经验、宠物食品行业等经验优先。
职位福利：六险一金、通讯补助、定期体检、带薪年假、节日福利、周末双休",本科,2,更新于 12月15日
进厂听告白气球拉长不管,7000-8000元,广州番禺区,广东直聘网鸿旗信息科技有限公司,"感兴趣，直接交换电话 可或者联系方式加我咨询
感兴趣，直接投递简历，谢谢！
好消息，新的一年高峰期来临，订单猛增，工资稳定待遇好。
【招聘要求】16-45岁，男女不限，身体健康即可，生手熟手均可
【临时工】3 0 0一天，包吃住，可以周结可以月结，辞职提前1天，人走帐清，包吃住，月休4天，节假日，过年带 薪 休假。
【长期工】固定底薪8000，每天固定上班时间，8-6点，中间休息2小时，26天制，购买社保五险一金，节假日，过年带薪休假，辞职提前7天，人走账清
【特别备注】有家庭困难，做满10天，可以预支 3 000
【住宿】公寓宿舍4人，有空调，热水器，洗衣机，配有WIFI，独立卫生间！
包吃住，包脱单，新厂房，人性化管理",学历不限,99,更新于 12月12日
客服专员/无责底薪/六险二金,4000-8000元,郑州金水区,中国平安人寿保险股份有限公司河南分公司3,"平安集团下平安普惠
招聘岗位:客服专员
平安集团正式编制员工，无任何销售任务
1.福利待遇
【平安集团正式员工编制，六险二金】
【节日奖金，过节费，降温取暖费，寒，热补贴费，生日奖金，年终奖均可享受】
【工资结构为无责底薪+绩效佣金+年终奖，每三月按照绩效排名，靠前可晋级升底薪】
【绩效奖金：除底薪外绩效奖金6000-15000】
2.发展空间
事业部中心，负责华中片区工作，管理层90后为主，氛围比较好，平安集团正式员工，晋升制度透明，领导岗位与后线管理岗位全部为内部晋升，无任何外聘岗位，发展机会多，是一份可以作为终身事业的工作
3.工作环境
五星级办公楼办公，不涉及销售，外出和出差
4.工作内容
在符合国家法律法规的基础以及沟通公司合规政策基础上维护客户征信，处理平安内部客户问题，给予解决方案
⚠️⚠️⚠️
不涉及销售❗️❗️❗️不涉及主动开拓业务❗️❗️❗️本科以上学历，对工作经验无要求，要有空怀学习心态，更看重可塑性！",本科,1,更新于 12月19日
时间自由月入过万身无分文做骑手,6000-10000元,南通崇川区,江苏佳妮送电子商务有限公司,"送餐员骑手配送员）职位属于美团站点直招，面试不收任何费用，提供员工宿舍，依个人情况南京就近安排站点工作。
【面试通过，当天办理入职，当天上班，提供住宿，公司可配车】站点会给骑手送餐员下载骑手专用APP导航。根据导航送餐。
晋升机制：骑手一组长一储备站长一站长一区域经理一城市经理
职位要求：
1、男女不限18-57周岁，品行端正，无不良嗜好，无犯罪案底.
2、具备快速的学习能力，会骑电瓶车，灵活的使用智能手机，熟悉使用手机地图，导航。
.3、有良好的服务意识、和服务精神。
4、吃苦耐劳，有强烈的目标感；工作职责
5、所属区域内，安全，快速，友善的将餐点送至地点
工作时间：
1、高峰时间在线：早9:00-14：00晚17:00-21:00
2、每天需要在岗8个小时，其余时间自行安排
5.外卖送餐员月工资6000-9000元计件提成单价5-7一单，每天平均50-100单/天，雨季.假期容易爆单.单量增加.只要你付出肯定就会有收获。
6、公司提供住宿，生活用品需要自带。
7、公司统一为员工购买保险。
8、住宿环境：2-3人一间，空调，洗衣机，淋浴间.....等
福利津贴：全勤奖+服务奖+车补+餐补+话补+高温补贴+高峰补贴+冬季
温馨提示：本信息公司直招，有车可自带车入职，没车公司可配车辆
本职位已加入求职保障计划，站点直招非中介，入职没有任何费用，请各位求职者放心。求职人多，有意向的着急上班的请致电，可以安排优先面试",学历不限,20,更新于 12月12日
典雅站过年留守2000+急急招超市分拣防损,7000-8000元,常州新北区,叮咚买菜,"每月12号发上月工资
工作内容：
1、负责店内的物品陈列，比如水果蔬菜日用的摆放陈列，负责叮咚买菜门店的定期巡场，记录并反馈陈列实施的效果。负责产品的现场打包：海带、山药、冬瓜等；
2、负责保持分拣陈列区、打包区卫生的干净整洁以及整体站内卫生；
3、货品的及时补充及摆放陈列；
4、分拣过程中注意事项的严格把控以及整体分拣时长的严格把控；
5、负责店铺日常陈列维护和调整，配合新产品上市和店铺陈列，商铺上架陈列；
福利待遇：
1、提供工龄津贴、为员工免费缴纳商业保险。
2、叮咚为直营站点，站长全部从一线岗晋升上来，发展空间大。
招聘要求：
1、18-35周岁，能吃苦耐劳。
2、有良好的服务意识，服从管理，无征信问题。
3、需要办理健康证
各区域人员需求量不一致，具体的面试时间及岗位招聘详情可以咨询相关招聘专员。",学历不限,1,更新于 今天
客服/可实习/可短期-包住宿,4000-8000元,赣州章贡区,富联精密科技(赣州)有限公司,"岗位职责：
1、负责筛选目标客户资料，通过电话与客户进行有效沟通
2、了解客户需求，提供合适产品，与客户建立良好的业务关系
任职要求：
1、高中及以上学历，有电话销售经验者优先
2、普通话标准流利，具有良好的沟通表达能力
3、有良好的学习能力、适应能力和抗压能力",高中,1,更新于 12月31日
【西南区域经管集团】生产运营部经理,6000-9000元,南宁江南区,中国燃气,"核心职责：
1.组织完成部门年度目标责任和费用预算，及时传达贯彻公司的指示、决定和要求，并结合部门实际情况加以贯彻落实。
2.结合部门实际情况做好气源的调度、输配和计划，负责管道气生产、输配过程、输差管理及管网优化。
3.组织部门制订设备的定期检测、维修和保养工作计划，确保设备完好，落实设备管理到人。
4.组织部门安全工作，安排好年度应急演练，监督检查场站、管网、临供等设施的安全运行检查、维护及管理。
5.负责做好部门对外协调，以及相关部门横向联系，并配合、协助其他部门工作。
6.做好分管业务模块的安全工作，加强对安全工作的领导，监督部门定期进行安全教育、培训和检查评比，发现问题及时整改。
任职要求：
1.中级及以上职称及相关从业资格。
2.有3-4年及以上燃气行业或能源行业从业经验。
3.学历年龄要求：40岁以下，本科及以上，燃气、化工、机械等相关专业。（工作经验丰富或具备相关职称和资格证书的以上条件可适当放宽）
4.学习能力强、抗压性好，能接受南宁、崇左、百色工作调配，认可岗位薪酬模式，职业稳定性佳。",本科,1,更新于 12月11日
诚聘普工/操作工 月入8000（包住 空调）,6000-8000元,成都郫都区,中自科技股份有限公司,"岗位职责：
1、设备首件调试、上载体、设备状态监控及问题处理等工作，并按要求填写生产记录；
2、及时解决、上报生产过程中遇到的问题，识别不良品并进行标识，日报生产量。
任职要求：
1、接受加班和倒班；
2、年龄45岁以下；
3、大专以上学历。
薪资福利：
1、待遇：五险一金，底薪+加班费/计件费+夜班补助+年终奖金/绩效奖金等；
2、免费提供三人间公寓宿舍，免费工作餐（有深夜餐）
原标题：《直招普工/操作工 五险一金 提供食宿》",大专,1,更新于 今天
电话销售客服【大厂直招+超轻松】,7000-12000元·13薪,武汉江夏区,深圳乐信软件技术有限公司,"分期乐直招夜班电销专员（客服经验、电网销经验均可）
【工作时间】做五休二，排班
夜班：13:00-21:30，法定节假日休，无补贴，包晚餐
大夜班：16:00-24:00，法定节假日休，夜班补贴(50元/天)，包晚餐
【薪资待遇】做五休二，综合薪资7000-10000，超稳定的
无责2100+绩效基数4000-8000（系数0.8-1.5浮动）+夜班补贴（50元/天)+包晚餐+年终奖+五险一金+免费体检+各种福利
【岗位职责】
1、大夜班21点前接电话营销，21点后企微在线回复客户即可，无需电话
2、通过电话等方式给客户介绍公司产品与服务，挖掘客户潜在需求，寻找销售机会并完成销售业绩，完成公司下达的销售指标;
3、维护客户关系，为客户提供专业的服务与业务解析，以促成订单;
【任职要求】
1、高中中专以上学历，有教育培训、呼叫中心、客服、电销相关工作经验；其中有教育培训、客户服务热线经验优先考虑:
2、谈判及沟通能力强，反应敏捷，适应严谨规范化的管理；
3、年龄18-35，能够接受夜班作息时间",高中,10,更新于 12月16日
医药销售区域经理—霍邱县,6000-12000元,六安霍邱县,黑龙江珍宝岛医药贸易有限公司合肥分公司,"岗位职责：
负责辖区内药品的销售，主要面对的客户群是各乡镇卫生院的采购、院长、医生
一、熟悉公司产品的相关知识，确保向客户传达的产品知识准备无误、按要求推进省区各项目工作；
二、负责区域市场的有效管理，推进产品准入并传递产品信息，产品使用问题解答处理。
三、定期向上级反映辖区的销售情况和销售计划，对辖区内客户进行档案管理；组织开展学术活动，管理客户，培训，评估；
四、组织开展学术活动，管理客户，培训，评估并实施月度、季度及年度相关学术动作落实与推进；
五、负责地区每月的进、销、存台账的建立，并对客户精细化管理。
六、按照公司整体计划推进完成公司下达的各项任务指标；
七、严格遵守公司的各项规章制度，完成本区域内产品的销售工作以及公司交代的其他工作
任职资格:
一、不限学历、专业、工作经验等
二、年齡:22岁-35岁，但是要踏实勤奋，愿意学习，吃苦耐劳
【招聘区域】：六安市霍邱县乡镇卫生院
【操作产品】：3+N集采目录，属性好无后缀，市场潜力巨大
【公司福利】：季度奖金+节日福利+年终激励+法定假期+定期大小团建活动+优秀员工奖励等
【环境氛围】：愉快的工作氛围，弹性的工作时间，人性化的管理
【薪资待遇】：面谈，基本工资加补贴，优秀人员每年可浮动上涨工资，季度奖金、增长奖加年度超额完成奖等，提成丰厚 。",学历不限,1,更新于 今天
正编车险室内客服丨岗位轻松休假多,6000-12000元,佛山禅城区,阳光财产保险股份有限公司6,"名额有限，招满即至！！！主动投递优先录用！！！

法定节假日都休息 发薪日：每个月固定10号 如遇到节假日提前发放
岗位职责：
1) 公司提供稳定且优质的客户资源，通过电脑智能外呼系统联系客户，进行车险续期业务的开展；
2) 5A级室内办公环境，全天空调，环境优美，无需外出，无需资源；
3) 产品是车险！属于刚需！公司提供稳定且优质资源！收入稳定！
任职要求：
1) 20周岁-39周岁，身体健康，无犯罪记录，征信良好；
2) 具有一定沟通表达能力，普通话标准，音质佳，亲和力较好；
3) 勤奋踏实，有销售、客服相关工作经验者优先；
4) 反应灵敏，逻辑思维表达能力较强，同时具备一定抗压能力，稳定性强；
薪资：
1) 岗前培训期新人礼享受50元/天，总计培训6天（入职前自愿参加培训）；
2) 在岗任职期：职级底薪+职级津贴+高业绩提奖，转正后，依业绩达成月均6000元-15000元，上不封顶。
福利：
1)签订公司正式劳动合同（无外包、无派遣）；
2)享有社保及公积金（五险一金）；
3)无需外出拓展客户，无需客户资源；
4)正常行政班（无夜班无倒班）；
5)完善的培训体系，依工作表现，每三个月就有一次升职加薪；
6)多劳多得，丰厚的年终奖金、绩效奖金；
7)定期举办丰富的团建活动；
8)全年七个法定节假日，29天带薪假期（年假、婚假、病假、产假）；
9)七大节日福利（元旦、春节、元宵、中秋、端午、三八节、儿童节）、生日福利；
10) 鼓励勤奋工作，符合条件时，长期服务奖最高6000元/年，父母赡养津贴最高6000元/年，星光奖最高9600元/年。

没有经验没关系！！！我们没有试用期的！ 面试通过后会有为期6个工作日的岗前培训 培训结业后签订阳光保险劳动合同 公司是中国500强企业 我们有完整的培训体系和专业的培训教练 并且有团队主管带！！！",学历不限,8,更新于 12月22日
餐饮开发业代,5000-9000元,汕尾城区,东鹏饮料,"工作职责:
1、按公司制定的销售计划，完成销售任务；
2、按要求定期拜访客户，跟进区域内客户的库存；
3、根据各区域特性，积极开拓新客户，建立完善区域网点客户开发与管理；
4、维护市场品牌整体形象，了解竞品动态，及时反馈市场信息；
5、维护公司价格体系，防止恶性竞争；
6、完成所属上级领导安排的其他工作。
任职资格:
1、高中以上学历；
2、一年以上快销品行业工作经验；
3、工作责任心强，能吃苦耐劳，有一定沟通谈判能力技巧。
职位福利：五险一金、带薪年假、定期体检、定期团建、绩效奖金",高中,2,更新于 1月3日
终端业务员（非厂家人员）-【桂林全市】,5000-10000元,桂林阳朔县,洽洽食品股份有限公司,"一、岗位要求：
1、性别:不限;
2、学历:高中及以上，年龄40岁内；
3、工作经验:会驾驶常见送货交通工具(如电动三轮车、面包车等)、有食品快消品销售经验者优先;
4、必备能力:良好的与人沟通能力、执行力较强、能吃苦耐劳:
5、熟练使用智能手机及B2B、O2O等App软件;
6、日访门店15-20家及以上，月访门店250-300家及以上。
二、岗位职责：
1、收集市场网点信息、维护区域市场内的各类终端网点;
2、建立良好的客情关系，及时了解终端客户的需求;
3、洽洽产品主力品类的推广及新品的铺市工作;
4、根据陈列标准图上架、陈列、摆放产品，整理货架;
5、根据自身市场情况制定车销路线形成规律拜访，处理终端市场需求;
6、根据公司要求执行终端客户促销活动，负责治治企业形象的维护及品牌宣传工作；
7、与公司共同成长，成为一名合格的渠道事业小老板。
说明：此岗位为非厂家业务，请知悉后投递！",高中,1,更新于 12月10日
招聘CNC/数控操作-五险,6000-9000元,马鞍山雨山区,蓝黛科技集团股份有限公司,"岗位概述：
1、主要负责汽车零配件产品的生产加工，CNC数控机床操作；
2、执行车间生产安排。
岗位要求：
1、性别不限；
2、吃苦耐劳，身体健康；
3、适应倒班、站班。
原标题：《数控操作工》",高中,30,更新于 12月30日
后勤（卖猪、驻场、五险一金、包住）,5000-10000元,宿迁沭阳县,新沂牧原农牧有限公司,"岗位职责：
1、准确交付：依照销售计划安排，及时准确过磅，保证场区销售计划顺畅高效执行，准确率100%；
2、生物安全防控：做好生物安全清消，管理好司机等人员行为，保证生物安全零风险；
3、做好现场品质把控，提升客户服务，提升客户满意度。""
任职要求：
1、35以下，大专及以上学历，优秀者可放宽至高中/中专，专业不限；
2、执行力强，标准高，心智坚毅；
3、善于思考，注重细节，责任心、上进心强。
岗位福利
五险一金、免费住宿、员工食堂、股权激励、节假日福利等",学历不限,6,更新于 12月10日
电商电话客服,6000-8000元,上海嘉定区,深圳南区人瑞人力资源服务有限公司,"岗位职责：
1. 负责供应链相关时效/质量/售后类问题的工单处理；
2. 针对客户反馈问题高效跟进，以工单回复或者外呼形式解决客户问题；
3. 负责跟承运商/内部各个环节对接，提升处理效率；
4. 负责协助客服主管收集客户体验问题，综合进行客户体验提升项目优化。",学历不限,45,更新于 12月9日
仓管员,5000-8000元,绍兴上虞区,浙江闰土股份有限公司,"1、年龄25-40周岁，高中以上学历。（大专及以上学历，工商管理、物流管理等相关专业，有相关工作经验者可以适当放宽）
2、具有良好的表达沟通能力，身体健康，品行良好，吃苦耐劳，不拉帮结派，有团队合作精神。
3、长白班，有仓管员、仓储部门相关工作经验者优先。",高中,1,更新于 12月9日
娱乐主播（可兼职可居家）,6000-12000元,承德双桥区,抚顺领航者文化传媒有限公司,"职位描述：负责与我司合作的各大平台在直播间与粉丝互动和展示才艺，直播方式以视频唱歌跳舞聊天互动为主，包括优质的电台主持等形式主持。
职位要求：
1.五官端正，形象好气质佳，阳光自信，上镜效果好，男女不限，才艺不限。
2.性格开朗，有才艺更佳，良好的需要表达及沟通能力。
3.有较强的互动能力，场控能力，能营造浓厚的现场互动氛围。
4.工作时间自由，工作场地可在家直播。
5.无需任何费用，公司负责免费培训，运营一对一指导。
6.只要你有一个主播梦、明星梦。我们会倾尽全力打造你。
7.做全职主播我司为你量身打造属于你的原创歌曲，包括发行。全额奖励。
8.求职主播一律在家开播。无论在任何城市，无需到公司进行直播与面试；",学历不限,10,更新于 今天
急招CNC/数控操作 工龄奖 包午餐,5000-8000元·13薪,天津东丽区,天津津荣天宇精密机械股份有限公司,"岗位描述：
• 主要负责加工中心工作,按时完成产品或工艺所在环节分配的生产任务；
• 严格按照工艺文件和图纸加工工件，正确填写工序作业程序单和其他质量记录；
• 负责机床的日常维护保养；
• 工作中，改进自我水平并且就生产过程中的问题提出建议
• 负责本工序的5S/EHS/TPM等工作
任职要求：
• 技校、中专或高中（含）以上学历；
• 有操机基础，了解对刀、上下件等工作流程
• 能接受升职，愿意培养新人，愿意担任组长或更高级的职位
• 熟悉发那科三轴等加工中心机床等优先；
原标题：《加工中心操作工/CNC》",学历不限,1,更新于 12月22日
招聘普工/操作工 月入8000（包住 四人间）,5000-8000元,合肥瑶海区,京东方科技集团股份有限公司,"一、[工作内容]
检测产品不良、组装，包装，贴片，投屏等岗位（有意向岗位可面试备注）
二、[岗位要求]
1.学历:初中及以上学历
2.任职要求:接受倒班，能够接受无尘服；
3.接受无经验，入职有带薪培训。
3.工作时间
白班: 8:30-20:30
夜班:20:30-8:30
以上时长含休息时间，每天计薪时长为10h，休息时长2h;
4.排班:两班倒，上六休二或上四休二（计薪方式一样）,半个月或一个月倒一次班，具体视岗位而定。月休5-8天。
三、[薪资构成]
综合工资:5K-8K(基本工资+加班费+夜班补贴+绩效奖金);
夜班津贴35元/天。
*工资为税前平均水平，薪资根据不同出勤、岗位和个人表现会有所差异。
四、[生活条件]
①、餐：月均餐补600-900元(公司每月充值餐卡，独立于工资之外)；
②、宿：4人间宿舍，配备卫浴、空调，电视机，免费WIFI，每月仅有30块钱物业费。
③、生活区配套设施齐全：生活区超市、理发店、室内室外篮球场、足球场、羽毛球场、乒乓球馆、台球厅、健身房、快递驿站等。
五、[其他福利]
①、年度体检:年度免费健康体检;
②、其他补助:生日贺金、节日礼金、结婚贺金，丧葬慰问金等。
③、免费提供工服和工鞋；
④、入职即缴纳五险一金。
六、[发展机会]
1、管理职通道：代理组长-组长-班长......
2、技术职通道:Level2-Level3-Level4......
定期进行岗位技能评定，技能突出者提供晋升机会以及薪资提升!
原标题：《0元入职京东方人事部直招/面试简单，包吃住》",初中及以下,100,更新于 12月8日
