职位名称,薪资,工作地点,公司名称,任职要求,学历要求,招聘人数,发布时间
财务实习生,6000-8000元,上海闵行区,上海英恩国际贸易有限公司,"职位描述：
1、做好公司销售收入应收账款的日常核算和管理工作；
2、做好销售开票审核以及开票等工作；
3、每月进项发票认证抵扣；增值税纳税申报工作
4、每月集团内部销售对账；
职位要求：
1、本科及以上学历，会计学或财务管理等相关专业；
2、具有较强的经营管理和财务会计管理方面的知识，有销售会计经验优先；
3、遵守国家法律、法规，正确贯彻执行国家的财政、财务、会计政策，具有良好的职业操守；
4、熟悉财务系统软件，能够熟练应用Excel、Word、PPT等办公软件；
5、工作细致认真，具有高度的责任心，抗压性强；
6、具有良好的学习能力、沟通能力、团队协作精神",本科,1,更新于 12月6日
技术服务工程师 (MJ005512),7000-10000元,武汉东西湖区,海大集团,"1.主要负责公司指定区域的售后技术服务和技术指导及售后服务跟踪；
2.熟悉养殖模式，了解养殖产品规格.投喂方式等；
3.负责养殖户资料收集.案例收集；
4.掌握并了解禽料或水产养殖，疾病预防及敌害生物的防治；
5.对所辖区域的养殖现状进行定期评估养殖效果；
6.定期做技术案例及总结以推动技术发展。
岗位要求：
1.硕士以上学历，水产等相关专业；
2.1年以上禽料或水产养殖或水产服务类工作经验，熟悉禽料或水产行业产品特性优先；
3.具备吃苦耐劳，积极进取的精神，能适应长期出差。",硕士,1,更新于 12月5日
镀膜工艺工程师,7000-10000元,南昌红谷滩区,江西沃格光电集团股份有限公司,"工作地址在新余，介意勿投。
岗位职责：
1.样品投产方案拟定及制作跟进；
2.新工艺新材料的验证开发；
3.品质异常的分析处理；
4.良率跟进及提升；
5.设备规格的评估和需求；
6.客户需求达成能力评估；
7.新设备能力测试及验收；
8.量产工艺的改善及新技术方案开发测试。
任职要求：
1.材料/化学/物理理工科类专业
2.掌握材料、化工等本专业的基础理论
3.熟练使用办公软件
4.能快速理解新事物，将理论应用于实践
5.沟通协调良好
6.能接受倒班和挑战，对自己的工作结果负责",本科,1,更新于 12月19日
中国/交通银行纯接听 无销售无试岗 7000+,6000-12000元,合肥包河区,合肥泰盈信息科技有限公司,"工作内容：给使用信用卡消费的用户办理账单分期，减轻客户还信用卡的压力，录入银行系统办理操作即可，无需外出跑业务，比较简单轻松
工作时间：朝九晚六 月休6天，
保护薪资：考虑新人没有经验，新人保护薪资4500+，试用期4500-6000，转正综合薪资：7000-18000高薪部分员工：在15000~40000+
福利待遇：五险一金，提供住宿，法定假日休，有餐补，有下午茶，入职满3个月后晋升主管机会。",中专/中技,1,更新于 12月5日
渠道专员,5000-10000元,西安蓝田县,西安万科企业有限公司,"工作内容：
1. 负责开拓市场，对接分销渠道，发掘新客户（含地州拓客）；
2. 负责个人意向客户约访，与案场销售有效对接，促进成交；
3. 负责商场社区展点、推介会、企业团购等营销拓展活动执行工作；
4. 有一定自媒体运营/直播，或者感兴趣者优先；
任职资格：
1、高中学历，35岁以下；
2、有销售经验，愿意做地产；
3、掌握房地产专业知识，有一定拓客能力。",高中,10,更新于 12月17日
天润站过年留守好岗位急急急招超市分拣防损,7000-8000元,南京浦口区,叮咚买菜,"每月12号发上月工资
工作内容：
1、负责店内的物品陈列，比如水果蔬菜日用的摆放陈列，负责叮咚买菜门店的定期巡场，记录并反馈陈列实施的效果。负责产品的现场打包：海带、山药、冬瓜等；
2、负责保持分拣陈列区、打包区卫生的干净整洁以及整体站内卫生；
3、货品的及时补充及摆放陈列；
4、分拣过程中注意事项的严格把控以及整体分拣时长的严格把控；
5、负责店铺日常陈列维护和调整，配合新产品上市和店铺陈列，商铺上架陈列；
福利待遇：
1、提供工龄津贴、为员工免费缴纳商业保险。
2、叮咚为直营站点，站长全部从一线岗晋升上来，发展空间大。
招聘要求：
1、18-35周岁，能吃苦耐劳。
2、有良好的服务意识，服从管理，无征信问题。
3、需要办理健康证
各区域人员需求量不一致，具体的面试时间及岗位招聘详情可以咨询相关招聘专员。",学历不限,1,更新于 12月30日
盐步品牌门店急聘店员!!（员工股份制+包住宿+就近分配+高提成+新手有人带）,5000-8000元,佛山南海区,广州羊奶世家科技有限公司,"职责：
1、接待顾客的咨询，了解顾客的需求并达成销售；
2、负责做好货品销售记录、盘点、账目核对等工作，按规定完成门店销售统计工作；
3、完成商品的来货验收、上架陈列摆放、补货、退货、等日常营业工作；
4、做好所负责区域的卫生清洁工作；
5、能快速店内产品，完成上级领导交办的其他任务。
任职：
1、五官端正、身体健康、有责任心、活泼开朗、热爱行业！
2、具有较强的团队合作精神，有上进心，年龄18-55岁。
待遇：底薪+提成+社保+包住，综合工资5000—8000元(主要销售提成，月入过万都有很多）员工股份制。包住。优秀有能力者可晋升店长（每个月都有十几个名额）！（全国5000家门店）
我猜你想知道的：
一个门店（团队）标准五位员工，一个店长，一个副店长，三位营销导购。
做到店长就有门店股份了，就是每个月利润50%给公司总部，剩下50%给店长做店铺运营，发工资各方面。店长离职门店股份也会收回给公司
一天上班八小时（早上八点到十二点早上工作时间，十二点到两点半午休时间，两点半到六点半下午工作时间）
底薪加个人提成加团队分红。我们三百多位店员数据是，做满三个月的平均都有6500元月薪左右的月薪，满一年在8000到11000月薪这个范围了。我们晋升制度是（导购—副店长、店长—区域经理—大区经理）（每个月员工大会晋升十几位）
想了解更多请投递简历
职位福利：绩效奖金、年终分红、包住、不加班、加班补助
职位亮点：底薪加个人提成加团队分红........",学历不限,5,更新于 12月4日
采购工程师,7000-9000元,青岛胶州市,软控股份,"【岗位职责】
1、负责开发新供应商和维护老供应商关系；
2、参与供应商的审厂、考核，确保每个供应商都符合公司的要求；
3、参与采购物料价格的谈判，货比三家，做到物美价廉；
4、按照公司规定的采购流程进行采购操作；
5、采购产品交货期的跟踪及控制；
6、进行相关市场行情的调查；
7、与供应商有关交期、交量等方面沟通协调；
8、监控市场变化，采取必要的采购技巧降低采购成本；
9、定期进行市场调研，开拓渠道，进行供应商评估；
10、协助财务做好对帐工作；
11、完成上级交办的其他工作。
【任职要求】
1、具有相关汽车及零部件供应商采购渠道者优先；
2、熟悉相关零部件工艺工程及成本构成者优先；
3、有敏锐的市场分析及洞察能力；
4、具备良好的沟通和谈判能力；
5、熟练使用Word, excel等办公软件，电脑操作熟练；
6、工作细致认真，责任心强，思维敏捷；
7、年龄要求： 28-35
8、驾照要求：C1
9、统招本科及以上学历",本科,1,更新于 12月5日
系统实施工程师,5000-8000元,沈阳新民市,惠州亿纬锂能股份有限公司,"遣制合同岗位，接受0经验IT类专业统招本科优秀毕业生，需要去湖北荆门市学习2个月，不接受者请勿投递。
工作内容： 1） 根据业务部门的需求对MES、FMS系统功能进行升级改造,能独立完成包括需求调研、业务分析、方案设计和开发工作 2） 熟练掌握 oracle、DB2、 Sybase、 SQL Server等大型数据库中的一种，了解数据库原理并能完成常规操作 3） 熟识防火墙，路由器，交换机运行机制配置，理解TCP/IP协议,及路由、交互的基本原理； 4） 良好的PPT技术文案制作和展示能力和较强的数据统计和分析能力。
任职要求： 1）有MES或FMS软件开发、实施、运维工作经验者，有项目实施经验者优先考虑 2）有新能源行业信息部门或MES/FMS实施行业从业经历者，优先考虑 3）熟悉生产过程管理、生产工艺管理、质量管理、物料管理、仓储管理等相关生产业务，经历过至少一个完整的MES系统实施或运维历程 4） 熟悉制造业信息化技术架构，对制造业的信息化有深刻理解，了解行业趋势 5） 熟识IT基础构架，了解云存储，包括但不限于SaaS模式,云计算等",本科,1,更新于 12月30日
房产经纪人/置业顾问/电话销售/网络销售,5000-10000元,北京朝阳区,北京我爱我家房地产经纪有限公司,"第一类：新入职的无经验的优秀新人（统招大专以上学历、沟通表达流畅、领悟能力强、形象气质佳），在实习期前3个月，无责任底薪是6000-8000元；转正后，责任底薪2000-6600元，提拥30%-75%；

第二类：有同行业工作经验的经纪人，经纪人（Z/M1-Z/M4）由区域总监和招聘部联合面试后确定职级，高级经纪人（Z/M/S5以上）由公司管委会面试后确定职级；复职的经纪人根据累计业绩来确定职级。


【福利保障】：第一类：实习生，由公司购买商业保险（待毕业改签正式合同后适用于第二类）

第二类：正式入职的员工（不区分职级），正常缴纳五险一金。假期：享受带薪年假，婚假、产假、有薪病假等特殊假期，帮助员工规划个人生活，达到工作与生活的有效平衡。

4、【职业发展通道】：

公司有完备的培训体系，所有中、高层管理人员均由基层培养出来的；无论您的家庭背景、无论您的学历、无论您来自哪里，只要有梦想，只要您凭自己努力奋斗，在北京我爱我家就一定可以实现。

5、【其他福利】：①内部员工租房、买房、租住相寓房屋，服务费享受员工折扣价；

②内部员工享有优惠的学历进修政策；

③员工每满一年均享有司龄礼物；

④员工司龄满一年即可每年享有免费的职工体检；

⑤优秀员工有机会享有免费出国游；

⑥爱家基金是由公司倡导并专项拨款，员工自愿加入的互助基金会，当员工及其家属遭遇重大疾病和事故时，希望爱家基金的存在，会让您感受到强大的支撑，全力以赴追逐自己的梦想。
职位福利：五险一金、高温补贴、员工旅游、每年多次调薪、节日福利、定期体检",学历不限,8,更新于 12月4日
KA经理（曲靖）,6000-10000元,曲靖麒麟区,仙琚制药,"职责一：负责昆明、玉溪、文山、曲靖的中小连锁门店销售，达成公司下达的指标。
1：根据下达的销售任务，制定合理的月、周工作计划，并按计划严格实施，在指定时间内完成销售指标；
2：负责管辖片区的总部活动落实、铺货及动销、片区活动策划及落实；
3：负责管辖片区店员产品培训、重点门店的驻店带教、重点门店的驻店促销等。
职责二：连锁客户开发与客情维护。
1：负责管辖连锁的协议洽谈、签订、跟踪执行情况；
2：建立与所属连锁总部、分部及片区经理等相关人员的客情关系，保持与连锁关键人员的拜访频率，并理清各连锁总部内部管理规定。
职责三：市场调查与信息反馈。
1：负责维护产品价格体系及市场的稳定、市场信息反馈；
2：负责管辖连锁档案建立及各级关键客户的个人档案收集并建立；
3：了解竞争产品的人员、促销政策和销售情况。
任职条件：
1、20-35周岁，本科或以上学历，医药学相关专业可放宽至大专；
2、有良好的人际关系建立与维护、组织协调与沟通能力；
3、拥有良好的学习能力，能够快速掌握新知识和技能；
4、熟练电脑Word、Excel、PPT等办公软件的使用。
5、诚信可靠，勤劳踏实，积极向上的优秀品质！
注：有连锁纯销或培训经验，有相关客情基础优先考虑。
薪酬结构：岗位工资+绩效奖金+福利补贴。
培训：公司有健全的培训体系，根据员工的培训发展建议制定培训实施计划。
社会保险：六险：养老、医疗、失业、工伤、生育、意外；两金：住房公积金、企业年金。",本科,1,更新于 12月3日
残疾人岗位,5000-10000元,成都郫都区,阳光财产保险股份有限公司6,"名额有限，招满即至！！！主动投递优先录用！！！

工作时间：早9晚6：30 周末大小休 法定节假日都休息 发薪日：每个月固定10号 如遇到节假日提前发放
岗位职责：
1) 公司提供稳定且优质的客户资源，通过电脑智能外呼系统联系客户，进行车险续期业务的开展；
2) 5A级室内办公环境，全天空调，环境优美，无需外出，无需资源；
3) 产品是车险！属于刚需！公司提供稳定且优质资源！销售难度低！收入稳定！
任职要求：
1) 20周岁-39周岁，身体健康，无犯罪记录，征信良好；
2) 具有一定沟通表达能力，普通话标准，音质佳，亲和力较好；
3) 勤奋踏实，热爱销售工作，有销售、客服相关工作经验者优先；
4) 反应灵敏，逻辑思维表达能力较强，同时具备一定抗压能力，稳定性强；
薪资：
1) 岗前培训期新人礼享受50元/天，总计培训6天（入职前自愿参加培训）；
2) 在岗任职期：职级底薪+职级津贴+高业绩提奖，转正后，依业绩达成月均6000元-15000元，上不封顶。
福利：
1)签订公司正式劳动合同（无外包、无派遣）；
2)享有社保及公积金（五险一金）；
3)无需外出拓展客户，无需客户资源；
4)正常行政班（无夜班无倒班）；
5)完善的培训体系，依工作表现，每三个月就有一次升职加薪；
6)多劳多得，丰厚的年终奖金、绩效奖金；
7)定期举办丰富的团建活动；
8)全年七个法定节假日，29天带薪假期（年假、婚假、病假、产假）；
9)七大节日福利（元旦、春节、元宵、中秋、端午、三八节、儿童节）、生日福利；
10) 鼓励勤奋工作，符合条件时，长期服务奖最高6000元/年，父母赡养津贴最高6000元/年，星光奖最高9600元/年。

没有经验没关系！！！我们没有试用期的！ 面试通过后会有为期6个工作日的岗前培训 培训结业后签订阳光保险劳动合同 公司是中国500强企业 我们有完整的培训体系和专业的培训教练 并且有团队主管带！！！",中专/中技,7,更新于 12月22日
上市公司规模7k+月薪过万+入职缴纳社保,6000-8000元,南昌红谷滩区,深圳乐信软件技术有限公司,"工作内容
• 纯线上唠嗑式办公！只做逾期提醒沟通，不用跑外勤、不面基，舒服摸鱼不社恐；
• 目标超直白：搞定回款拿提成，多劳多得无上限，搞钱路径清清楚楚。
薪资待遇（新人躺赚不慌）
• 首月到手保底6000元+高额提成，次月还有5000元保护；
• 入职前两月直接锁死1.1万保底，新手期也能实现工资自由！
工作时间&福利（诚意拉满）
• 工时超友好：早9晚6:30，含70分钟摸鱼+30分钟干饭时间，拒绝无效内卷；
• 福利超贴心：五险一金入职就交，免费管晚餐，加班有足额加班费，省钱又安心；
• 假期超够用：月休6-8天，休息日还补加班费，躺着也能赚外快！",中专/中技,5,更新于 12月2日
终端业务员（非厂家人员）-【丰县批发渠道】,5000-10000元,徐州丰县,洽洽食品股份有限公司,"一、岗位要求：
1、性别:不限;
2、学历:高中及以上，年龄40岁内；
3、工作经验:会驾驶常见送货交通工具(如电动三轮车、面包车等)、有食品快消品销售经验者优先;
4、必备能力:良好的与人沟通能力、执行力较强、能吃苦耐劳:
5、熟练使用智能手机及B2B、O2O等App软件;
6、日访门店15-20家及以上，月访门店250-300家及以上。
二、岗位职责：
1、收集市场网点信息、维护区域市场内的各类终端网点;
2、建立良好的客情关系，及时了解终端客户的需求;
3、洽洽产品主力品类的推广及新品的铺市工作;
4、根据陈列标准图上架、陈列、摆放产品，整理货架;
5、根据自身市场情况制定车销路线形成规律拜访，处理终端市场需求;
6、根据公司要求执行终端客户促销活动，负责治治企业形象的维护及品牌宣传工作；
7、与公司共同成长，成为一名合格的渠道事业小老板。
说明：此岗位为非厂家业务，请知悉后投递！",高中,1,更新于 12月2日
信贷客服专员,5000-10000元,德州德城区,平安融易(黑龙江)信息服务有限公司德州分公司,"(平安大厂正编非保险)
要求:
年龄23-38周岁，学历大专及以上
学信网可以查到
服务有贷款需求的客户，平安担保，银行放款。
有房地产、信用卡销售经验优先，新手也欢迎！
薪资：底薪➕提奖➕职级津贴➕每单实物现金奖励➕年终奖
保障：六险2金（含补充商业险、企业年金 ➕节日福利(3000元+)➕降温费➕带薪年假➕激励旅游",大专,1,更新于 1月1日
基建预算,7000-10000元,烟台福山区,山东玲珑轮胎股份有限公司,"岗位内容：
1. 编制工程造价预算书及施工图预算；
2. 负责项目中的合同管理和成本控制；
3. 涉及工程造价咨询、评估和审计等相关工作。
任职要求：
1. 本科及以上学历，建筑/工程造价等相关专业背景，具备扎实的基础知识和技能；
2. 熟练掌握国家有关工程造价政策、法规和标准，熟悉各类工程造价软件操作；
3. 具备良好的沟通协调能力和团队合作精神，认真负责、细心严谨，具备较强的逻辑思维和分析能力。
4.英语四级以上，接受出差",本科,1,更新于 12月18日
育肥技术员,6000-8000元,黔东南镇远县,新希望六和,"岗位职责：
1. 负责规模化养殖场保育/育肥工段的生猪养殖工作；
2. 负责猪只日常饲喂、栋舍环境卫生、防疫及生物安全防控工作，保健及免疫；对育肥猪生长和健康情况进行观测记录，并按要求进行保健和免疫工作操作；
3. 猪只销售后，圈舍栏位冲洗消毒、刷栏直至栏位验收合格；
岗位要求：
1. 性别不限，30-55岁优先
2. 学历不限；有养猪经验者优先；无养猪经验，喜欢从事养殖业者，入职后有在职员工带教；
3. 有经济压力、家庭重担优先；追求长期且稳定的工作，频繁跳槽者勿扰；
4. 工作踏实耐心，能严格遵守猪场的规章制度和生物安全要求；
5. 身体健康，接受封闭性工作环境，规模化养殖场工作经验优先；
6. 每两月带薪休假8-10天。
岗位优势：
1.包吃包住，带薪休假（两个月带薪休假 8-10 天），带薪年假，免费工作服，免费生活用品提供，买五险
2.中年人优势：收入稳定，包吃包住，能存下钱，适合养家糊口，为子女攒钱，年收入8-10万
3.年轻人优势：环境单纯，有成长空间，无通勤成本，工资基本能存下来，年收入8-10万
4.夫妻工优势：稳定性极高，能互相照顾，提供夫妻房，夫妻工年薪合计可达 16-20万",学历不限,15,更新于 12月30日
测量员,6000-8000元,深圳光明区,深圳市大富方圆成型技术有限公司,"岗位职责：
- 负责对产品进行精确测量，确保尺寸和质量符合标准要求。
- 记录测量数据，及时反馈测量结果，对测量异常进行初步分析。
- 维护测量设备的正常运行，定期进行校准和保养。
- 参与测量方法和流程的持续改进。
岗位要求：
- 高中及以上学历，机械类或相关专业。
- 熟悉各种测量工具和仪器操作。
- 具备良好的数据分析能力和问题解决能力。
- 有责任心，工作细致，能适应快节奏的工作环境。",高中,3,更新于 12月1日
【通力】管培生（定期晋升+14薪）22届-25届优先,6000-8000元,厦门思明区,深圳南区人瑞人力资源服务有限公司,"学习与培训
1.参加公司安排的电梯技术理论课程（机械/电气原理、安全规范等）及实操培训。
2.学习电梯相关法规及行业标准。
3.考取电梯作业人员操作证（T1/T2）及其他必备资质。
现场实践与客户服务
1.在师傅指导下参与电梯日常维护、定期检查、保养润滑、等工作。
2.协助处理电梯故障诊断及紧急救援，记录问题并提交报告。
3.学习使用维保工具（万用表、钢丝绳张力仪等）及维保管理系统。
4.跟随团队与客户沟通，了解需求并协助提供解决方案。
5.学习维保合同执行流程，协助完成服务报告及客户签字确认。
安全与合规
1.严格执行安全操作规程，确保个人及团队作业安全。
2.参与公司安全及应急演练，熟悉困人应急演练预案。
任职要求：
1.工作年限：0-3年社会工作经验，（不考虑在校学生）机械工程、电气自动化、机电一体化等相关专业优先。22届-25届优先
2.学历要求：本科学历
3.沟通能力：具备良好的沟通能力及团队协作精神。
4.外语能力：英语四级 非硬性要求
5.技能要求：基础机械/电气知识，能看懂电路图或机械图纸为佳。 动手能力强，适应户外作业环境。 责任心强，注重细节，具备安全意识。
愿意长期在电梯行业发展。",本科,2,更新于 11月28日
海外工程销售-2026届土木工程、工程管理、工程造价专业,5000-9000元,佛山三水区,广东精工钢结构有限公司,"技能要求：
1、熟悉公司产品体系、钢结构专业技术体系；对公司使命、愿景、价值观能做细致阐述，熟悉公司概况。
2、了解客户需求，并针对性提出解决思路建议。
3、熟悉营销管理体系及营销阶段各项流程和规章制度，了解项目整体运作思路；
4、熟悉营销技巧和客户关系管理；能独立维护客户信息。
任职要求：
1、本科及以上学历，工程类相关专业，具备基础CAD识图能力；
2、适应高频出差，具备较强的市场开拓能力和客户关系维护能力；
岗位职责：
1、拓展区域内优质龙头企业市场，开拓发展大客户；
2、协助公司品牌推广：利用与设计院、业主方的沟通，收集与工程项目相关的各项技术标准和资料，对项目的结构形式、技术要求、工艺要求、采用材料等要求作全面的了解，适时推荐公司的相关产品；
3、负责区域内战略客户、大客户、目标客户、合作伙伴、总包单位、设计院、招标代理、管理公司、行业协会、政府专家、行业及地方龙头企业等客户的渠道开拓、维护和拜访工作；
4、调研、策划、执行区域内行情确定主要细分市场，结合细分市场行业上下游合作伙伴，行业协会等渠道开发与建设，并建档制定长期维护计划及执行；
5、组织、策划、执行个人所有跟踪项目跟踪引导、营销攻关、招标文件运作、投标、商务谈判、中标后流程工作的全过程执行及时汇报上级领导；
6、配合公司对责任中标项目营销二次创利工作；
7、完成上级领导交办的其他工作事项
其他要求：
1、此岗位入职后，需要在广东佛山学习培训3-6个月
2、广东佛山有宿舍、食堂，只需要带个人床上用品即可
3、主要工作区域为：广东佛山，会出差去海外，主要是东南亚、中东、北非区域
4、工资：底薪+提成+海外补贴，具体根据个人能力面谈
5、精通英语、阿拉伯语其中一门语言",本科,1,更新于 11月28日
车商客户经理,5000-10000元,南京鼓楼区,中国平安财产保险股份有限公司江苏分公司,"一、岗位职责：
1．负责所辖品牌网点新拓/集团网点关系维护，对所辖网点各项指标、业绩达成负责；

2．负责所辖网点同业信息收集、续保追踪、线上合作推动、合作伙伴痛点挖掘与协助解决、营销策划等；

3．协调处理合作伙伴销售、理赔过程中的简单问题；

4．上级安排的其他相关工作。

二、岗位要求：

1. 本科及以上学历（双证齐全）；
2. 有销售或管理经验者优先；
3. 具有较强的业务公关能力、沟通协调能力；

三、福利待遇：
1.六险两金+年终奖金（公积金12%）
2.团建激励+下午茶+员工生日会+定期工会活动+各类俱乐部等
3.双休+年假+生日假、节日假等",本科,1,更新于 12月1日
中西面点师（大工）,7000-10000元,洛阳洛宁县,洛宁华泰矿业开发有限公司,"岗位职责：
1. 负责制作各类中式和西式面点，包括但不限于中式包子、馒头、饺子、花卷、烧卖，以及西式吐司、法式面包、披萨、甜点等。
2. 根据菜单需求，合理安排各类面点的制作，确保每一款面点的口味、外观与品质达到标准。
3. 严格执行食品安全和卫生标准，保证食材的新鲜、卫生和质量。
4. 不断探索创新，结合传统技艺与现代烘焙技术，推出新的面点品种。
5. 参与厨房的日常管理工作，包括设备维护、食材采购等，保持厨房的清洁与高效运转。
6. 定期更新面点菜单，提升员工用餐体验。
任职要求：
1. 年龄： 25-45岁，身体健康。
2. 经验要求：至少10年以上的面点制作经验，精通中式面点及西式烘焙技巧，能够独立完成各类面点的制作，具备创新能力。
3. 技术要求：熟悉面点的制作工艺，特别是面团发酵、面包烘焙、馅料调制等工艺流程，能够独立研发新款面点。
4. 专业能力：具备相关烹饪或烘焙专业资格证书，或曾接受过系统的面点培训，具有扎实的面点制作基础。
5. 创意与融合：能够根据市场需求或季节变化，创新中西合璧的特色面点，提升餐品的多样性和吸引力。
6. 团队精神与责任感：有良好的沟通能力与团队协作精神，能够承受工作压力，并能保证产品的质量稳定性。",学历不限,1,更新于 12月31日
